file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,class,7,9,2,7,47,3,0,32,159,0.884058,0.0,0.0,23,1,20,0,0,3,23,0,0,1,15,4,2,5,0,8,4,0,12,220,13,0,8,4,0,14,7,33,4,16,3,0,1,0,288,1,8
C:\eclipse_new_projects\logging-log4j1-main\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,class,3,5,2,3,11,1,0,12,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,0,0,3,0,0,2,52,0,1,3,3,0,6,1,10,2,7,3,0,0,0,69,1,5
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\LogRecordFilter.java,org.apache.log4j.lf5.LogRecordFilter,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\xml\DOMTestCase.java,org.apache.log4j.xml.DOMTestCase$CustomLogger,innerclass,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,19,16,3,14,1,17,5,6,0.68,0.0,0.0,5,0,2,0,3,0,5,1,0,0,5,1,1,0,0,4,0,0,0,46,1,2,2,0,2,6,10,11,4,8,3,0,0,0,78,1025,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,class,7,8,1,7,12,1,0,12,22,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,0,0,3,0,0,9,46,0,1,2,0,0,17,1,5,7,5,2,0,0,0,87,1,8
C:\eclipse_new_projects\logging-log4j1-main\examples\subclass\MyLoggerFactory.java,examples.subclass.MyLoggerFactory,class,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,class,10,50,40,10,29,1,29,11,129,0.84962404,0.0,0.0,19,0,17,0,2,0,19,1,2,2,7,0,0,0,7,0,0,0,3,94,11,1,4,0,2,5,0,13,2,8,2,0,0,0,181,1025,3
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\helpers\DateLayoutTest.java,org.apache.log4j.helpers.DateLayoutTest,class,7,10,3,7,23,5,1,17,253,0.0,0.0,0.0,23,0,21,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,8,119,1,0,0,0,1,25,13,23,0,23,0,0,1,0,68,1,0
C:\eclipse_new_projects\logging-log4j1-main\contribs\SvenReimers\gui\JListView.java,org.apache.log4j.gui.AddAction$AddThread,innerclass,3,3,0,3,6,2,0,5,0,0.16666667,0.0,0.0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,1,30,0,2,1,1,0,4,3,5,3,5,3,0,0,0,20,0,0
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\EnhancedMyPatternLayout.java,org.apache.log4j.EnhancedMyPatternLayout,class,3,3,0,3,4,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,58,1,0
C:\eclipse_new_projects\logging-log4j1-main\examples\MyPatternParser.java,examples.MyPatternParser,class,3,4,1,3,3,3,0,3,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,23,0,0,1,0,0,0,2,1,0,1,1,0,1,0,62,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\viewer\LogTable.java,org.apache.log4j.lf5.viewer.LogTable,class,7,23,16,7,17,5,0,29,35,0.92941177,0.0,0.0,10,0,8,0,2,0,10,0,0,1,17,1,0,1,16,0,1,0,1,132,3,6,1,0,0,0,29,36,2,33,1,0,1,0,95,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\viewer\configure\ConfigurationManager.java,org.apache.log4j.lf5.viewer.configure.ConfigurationManager,class,13,15,2,13,59,1,0,92,198,0.88616073,0.0,0.0,28,1,4,12,12,0,16,0,0,0,16,14,0,16,0,0,14,0,13,297,7,11,5,6,2,73,13,95,5,89,3,0,0,0,153,1,0
C:\eclipse_new_projects\logging-log4j1-main\contribs\VolkerMentzner\PluggableHTTPServer.java,com.psibt.framework.net.PluggableHTTPServer$ServerThread,innerclass,3,3,0,3,14,2,0,14,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,2,48,0,2,4,2,1,2,3,13,0,12,5,0,0,0,44,0,1
C:\eclipse_new_projects\logging-log4j1-main\src\performance\java\org\apache\log4j\performance\ListVsVector.java,org.apache.log4j.performance.ListVsVector,class,2,3,1,2,7,1,0,7,0,0.33333334,0.0,0.0,3,3,1,0,0,2,3,0,0,0,4,4,0,0,0,4,0,0,6,57,2,4,1,0,2,12,6,23,8,13,2,0,1,0,48,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\viewer\FilteredLogTableModel.java,org.apache.log4j.lf5.viewer.FilteredLogTableModel,class,5,17,12,5,40,2,0,34,140,0.80952376,0.0,0.0,21,0,13,1,7,0,20,0,0,4,5,0,0,0,5,0,0,0,0,140,24,1,3,0,1,14,18,17,4,15,2,0,0,0,95,1,0
C:\eclipse_new_projects\logging-log4j1-main\contribs\JimMoore\LoggingOutputStream.java,LoggingOutputStream,class,4,5,1,4,17,2,0,7,1,0.625,0.0,0.0,6,0,4,2,0,0,4,0,0,0,8,2,1,1,6,0,2,0,3,64,3,0,10,0,6,4,15,16,1,11,2,0,0,0,146,1,0
C:\eclipse_new_projects\logging-log4j1-main\contribs\SvenReimers\gui\JTableAppender.java,org.apache.log4j.gui.JTableAppender$Renderer,innerclass,3,3,0,3,4,6,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,26,1,0,1,0,0,3,1,5,2,5,2,0,0,0,21,0,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\AppenderFinalizer.java,org.apache.log4j.lf5.AppenderFinalizer,class,1,2,1,1,2,1,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,2,0,1,0,0,0,0,30,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\spi\Filter.java,org.apache.log4j.spi.Filter,class,3,13,10,3,4,1,4,0,4,0.875,0.0,0.0,4,0,4,0,0,0,4,1,0,0,4,3,4,0,0,0,3,0,0,15,1,0,0,0,0,0,3,4,0,4,0,0,0,0,141,1025,0
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\LoggerTestCase.java,org.apache.log4j.LoggerTestCase$CountingAppender,innerclass,2,2,0,2,4,2,0,0,4,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,1,1,0,1,0,0,0,0,12,10,0
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\spi\LocationInfoTest.java,org.apache.log4j.spi.LocationInfoTest,class,4,6,2,4,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,8,0,6,1,6,0,0,2,0,38,1,0
C:\eclipse_new_projects\logging-log4j1-main\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.Transform,class,12,12,0,12,3,1,0,15,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,6,3,10,0,10,1,0,0,0,33,1,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\config\PropertySetter.java,org.apache.log4j.config.PropertySetter,class,9,12,3,9,49,1,0,47,0,0.5,0.0,0.0,9,1,6,0,3,0,9,0,0,0,2,0,0,0,2,0,0,0,16,154,12,2,9,5,2,32,8,19,13,16,5,0,0,0,149,1,7
C:\eclipse_new_projects\logging-log4j1-main\contribs\ThomasFenner\JDBCAppender.java,com.klopotek.utils.log.JDBCAppender,class,10,11,1,10,84,2,0,37,13,0.7727273,0.0,0.0,11,0,9,0,2,0,11,0,0,0,24,9,9,15,0,0,9,0,5,255,28,3,26,9,3,35,15,68,10,38,6,0,0,0,287,1,13
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\nt\NTEventLogAppender.java,org.apache.log4j.nt.NTEventLogAppender,class,7,9,2,7,29,2,0,15,54,0.6666667,0.0,0.0,16,0,13,3,0,0,14,0,0,0,3,0,0,3,0,0,0,0,4,105,2,2,4,4,0,8,6,23,1,11,3,0,0,0,91,1,1
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\chainsaw\EventDetails.java,org.apache.log4j.chainsaw.EventDetails,class,2,8,6,2,11,1,0,7,29,0.8000001,0.0,0.0,10,0,0,0,0,10,10,0,0,0,8,0,0,8,0,0,8,0,0,47,8,0,1,0,1,0,0,8,0,8,0,0,0,0,52,0,0
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\JMSAppender.java,org.apache.log4j.net.JMSAppender,class,11,12,1,11,53,2,0,20,341,0.8871794,0.0,0.0,30,0,24,0,5,1,30,0,0,1,13,0,0,0,0,13,0,0,13,214,19,0,12,4,0,37,0,28,15,19,4,0,0,0,276,1,19
C:\eclipse_new_projects\logging-log4j1-main\contribs\VolkerMentzner\RootRequestHandler.java,com.psibt.framework.net.RootRequestHandler,class,2,6,4,2,16,1,2,7,44,0.7833333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,62,8,0,3,1,0,10,0,12,2,8,2,0,0,0,80,1,0
