file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setAdvertiseViaMulticastDNS/1[boolean],false,294,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,isAdvertiseViaMulticastDNS/0,false,298,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getRemoteHost/0,false,346,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setApplication/1[java.lang.String],false,387,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,fireConnector/0,false,302,2,4,2,2,2,4,9,0,0,0,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,6,0,1,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,"connect/2[java.net.InetAddress,int]",false,218,3,7,3,4,5,8,22,1,1,2,8,2,1,0,1,1,0,4,1,4,1,2,0,0,0,32,0,2,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setLocationInfo/1[boolean],false,370,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,cleanUp/0,false,199,1,3,2,1,5,4,18,0,0,0,4,0,0,0,2,1,0,1,0,3,0,3,0,0,0,27,1,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,append/1[org.apache.log4j.spi.LoggingEvent],false,243,4,11,0,11,10,16,41,2,0,1,16,1,1,0,4,1,0,5,2,2,2,3,0,0,0,41,1,3,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,requiresLayout/0,false,329,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,"SocketAppender/2[java.lang.String,int]",true,159,1,10,8,2,1,2,6,0,0,2,2,2,2,0,0,0,0,0,0,3,0,0,0,0,0,16,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getApplication/0,false,395,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,"SocketAppender/2[java.net.InetAddress,int]",true,149,1,1,0,1,1,2,6,0,0,2,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getReconnectionDelay/0,false,415,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getLocationInfo/0,false,377,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getAddressByName/1[java.lang.String],false,313,1,3,2,1,4,4,12,2,0,1,4,0,0,0,0,1,0,2,0,0,1,2,0,0,0,16,8,1,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,SocketAppender/0,true,143,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setReconnectionDelay/1[int],false,408,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,activateOptions/0,false,169,3,4,0,4,2,3,7,0,0,0,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,19,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setRemoteHost/1[java.lang.String],false,338,1,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,27,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,close/0,false,183,2,2,0,2,3,2,8,1,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,21,33,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,setPort/1[int],false,354,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,getPort/0,false,361,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,run/0,false,71,2,4,0,4,9,10,38,0,4,0,10,0,0,1,3,2,0,5,1,7,1,3,0,0,0,20,1,4,false
C:\eclipse_new_projects\logging-log4j1-main\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,SocketNode2/1[java.net.Socket],true,55,1,2,1,1,2,2,9,0,0,1,2,0,0,0,0,1,0,1,0,2,1,1,0,0,0,12,1,1,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\lf5\LogRecordFilter.java,org.apache.log4j.lf5.LogRecordFilter,passes/1[org.apache.log4j.lf5.LogRecord],false,39,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\tests\src\java\org\apache\log4j\xml\DOMTestCase.java,org.apache.log4j.xml.DOMTestCase$CustomLogger,CustomLogger/1[java.lang.String],true,194,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,"format/2[java.lang.StringBuffer,org.apache.log4j.spi.LoggingEvent]",false,64,2,4,2,2,6,5,20,1,2,2,5,2,1,0,1,0,0,0,1,2,3,3,0,0,0,22,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,"spacePad/2[java.lang.StringBuffer,int]",false,99,0,1,1,0,5,1,11,0,1,2,1,0,0,2,1,0,2,0,7,2,1,2,0,0,0,8,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,PatternConverter/0,true,43,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,convert/1[org.apache.log4j.spi.LoggingEvent],false,52,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1028,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,PatternConverter/1[org.apache.log4j.helpers.FormattingInfo],true,46,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,4,0,false
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,error/1[java.lang.String],false,113,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,"error/3[java.lang.String,java.lang.Exception,int]",false,77,1,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,"error/4[java.lang.String,java.lang.Exception,int,org.apache.log4j.spi.LoggingEvent]",false,86,5,7,1,6,4,10,17,0,2,4,10,0,0,1,1,0,0,11,1,2,4,2,0,0,0,43,1,5,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,setAppender/1[org.apache.log4j.Appender],false,124,2,2,0,2,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,11,1,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,setLogger/1[org.apache.log4j.Logger],false,56,3,2,0,2,2,3,7,0,0,1,3,0,0,0,1,0,0,2,0,1,1,1,0,0,0,21,1,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,setBackupAppender/1[org.apache.log4j.Appender],false,133,2,2,0,2,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,9,1,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,activateOptions/0,false,69,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,FallbackErrorHandler/0,true,47,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\eclipse_new_projects\logging-log4j1-main\examples\subclass\MyLoggerFactory.java,examples.subclass.MyLoggerFactory,makeNewLoggerInstance/1[java.lang.String],false,40,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\eclipse_new_projects\logging-log4j1-main\examples\subclass\MyLoggerFactory.java,examples.subclass.MyLoggerFactory,MyLoggerFactory/0,true,36,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,clearFilters/0,false,127,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,setErrorHandler/1[org.apache.log4j.spi.ErrorHandler],false,260,2,4,3,1,2,1,8,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,12,33,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,getErrorHandler/0,false,154,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,addFilter/1[org.apache.log4j.spi.Filter],false,101,1,1,0,1,2,1,9,0,0,1,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,13,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,getFirstFilter/0,false,177,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,isAsSevereAsThreshold/1[org.apache.log4j.Priority],false,218,1,5,4,1,2,1,3,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,21,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,setName/1[java.lang.String],false,286,0,17,17,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,AppenderSkeleton/1[boolean],true,81,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,finalize/0,false,137,2,2,0,2,2,2,5,1,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,11,1,1,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,append/1[org.apache.log4j.spi.LoggingEvent],false,110,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1028,0,true
C:\eclipse_new_projects\logging-log4j1-main\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,AppenderSkeleton/0,true,69,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
