file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous1$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\login\Login.java,com.example.modernnewsblogapp.login.Login,class,11,12,1,11,10,2,0,26,0,0.41666666,0.0,0.0,4,0,0,2,2,0,2,0,0,0,3,0,0,3,0,0,0,0,0,57,2,0,1,0,0,3,4,8,0,9,2,0,0,3,40,1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Repository\LoginRepo.java,com.example.modernnewsblogapp.Repository.LoginRepo,class,6,7,1,6,4,1,0,6,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,2,28,1,0,1,0,0,0,0,3,0,3,1,2,0,0,22,1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\ViewModelFactory\LoginViewModelFactory.java,com.example.modernnewsblogapp.ViewModelFactory.LoginViewModelFactory,class,5,6,1,5,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,16,1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Utility\FirebaseUtilitySingleton.java,com.example.modernnewsblogapp.Utility.FirebaseUtilitySingleton,class,3,7,4,3,5,1,0,1,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,17,3,0,1,0,0,0,0,1,0,1,1,0,0,0,20,1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous5,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous4,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,-1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\GlobalFragment.java,com.example.modernnewsblogapp.Fragments.GlobalFragment$Anonymous2,anonymous,7,7,0,7,3,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,3,0,4,2,2,0,0,0,0,22,-1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous6,anonymous,3,3,0,3,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,1,0,1,2,0,0,0,9,-1,0
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\GlobalFragment.java,com.example.modernnewsblogapp.Fragments.GlobalFragment$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
