file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous1$Anonymous2,onSuccess/1[com.example.modernnewsblogapp.Fragments.Uri],false,92,2,1,0,1,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\login\Login.java,com.example.modernnewsblogapp.login.Login,"validate/2[java.lang.String,java.lang.String]",false,72,0,0,0,0,3,1,10,1,1,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,2,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\login\Login.java,com.example.modernnewsblogapp.login.Login,"login/2[java.lang.String,java.lang.String]",false,67,1,1,0,1,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\login\Login.java,com.example.modernnewsblogapp.login.Login,onDestroy/0,false,86,1,1,0,1,2,3,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,4,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\login\Login.java,com.example.modernnewsblogapp.login.Login,onCreate/1[com.example.modernnewsblogapp.login.Bundle],false,28,8,2,0,2,4,22,34,1,5,1,22,0,0,0,0,0,0,3,4,5,0,2,0,0,3,32,4,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Repository\LoginRepo.java,com.example.modernnewsblogapp.Repository.LoginRepo,getLoginStatus/0,false,61,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Repository\LoginRepo.java,com.example.modernnewsblogapp.Repository.LoginRepo,LoginRepo/0,true,26,2,4,1,3,2,3,7,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,7,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Repository\LoginRepo.java,com.example.modernnewsblogapp.Repository.LoginRepo,"login/2[java.lang.String,java.lang.String]",false,41,2,1,1,0,1,3,13,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\ViewModelFactory\LoginViewModelFactory.java,com.example.modernnewsblogapp.ViewModelFactory.LoginViewModelFactory,LoginViewModelFactory/1[com.example.modernnewsblogapp.ViewModelFactory.Application],true,22,2,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\ViewModelFactory\LoginViewModelFactory.java,com.example.modernnewsblogapp.ViewModelFactory.LoginViewModelFactory,create/1[java.lang.Class<T>],false,30,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Utility\FirebaseUtilitySingleton.java,com.example.modernnewsblogapp.Utility.FirebaseUtilitySingleton,FirebaseUtilitySingleton/0,true,12,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Utility\FirebaseUtilitySingleton.java,com.example.modernnewsblogapp.Utility.FirebaseUtilitySingleton,getFirebaseAuth/0,false,32,1,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Utility\FirebaseUtilitySingleton.java,com.example.modernnewsblogapp.Utility.FirebaseUtilitySingleton,getFirebaseAuthSingleton/0,false,20,1,4,3,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,9,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Utility\FirebaseUtilitySingleton.java,com.example.modernnewsblogapp.Utility.FirebaseUtilitySingleton,getFireStore/0,false,41,1,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous5,onFailure/1[java.lang.Exception],false,131,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous4,onComplete/1[com.example.modernnewsblogapp.Fragments.Task<java.lang.Void>],false,124,2,0,0,0,2,4,5,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\GlobalFragment.java,com.example.modernnewsblogapp.Fragments.GlobalFragment$Anonymous2,"onResponse/2[com.example.modernnewsblogapp.Fragments.Call<java.util.List<com.example.modernnewsblogapp.Pojo.Post>>,com.example.modernnewsblogapp.Fragments.Response<java.util.List<com.example.modernnewsblogapp.Pojo.Post>>]",false,94,7,1,0,1,2,9,14,0,2,2,9,0,0,0,1,0,0,2,0,4,1,0,0,0,0,19,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\GlobalFragment.java,com.example.modernnewsblogapp.Fragments.GlobalFragment$Anonymous2,"onFailure/2[com.example.modernnewsblogapp.Fragments.Call<java.util.List<com.example.modernnewsblogapp.Pojo.Post>>,java.lang.Throwable]",false,110,3,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous6,onActivityResult/1[com.example.modernnewsblogapp.Fragments.ActivityResult],false,152,3,1,0,1,3,3,8,0,1,1,3,0,0,0,2,0,0,0,0,1,0,2,0,0,0,9,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\GlobalFragment.java,com.example.modernnewsblogapp.Fragments.GlobalFragment$Anonymous1,"onItemClick/4[com.example.modernnewsblogapp.Fragments.AdapterView<?>,com.example.modernnewsblogapp.Fragments.View,int,long]",false,81,3,1,0,1,1,2,4,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Fragments\BlogFragment.java,com.example.modernnewsblogapp.Fragments.BlogFragment$Anonymous1,onSuccess/1[UploadTask.TaskSnapshot],false,89,2,0,0,0,1,2,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,false
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Retrofit\RetrofitUtil.java,com.example.modernnewsblogapp.Retrofit.RetrofitUtil,getInstance/0,false,24,1,3,2,1,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,41,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Retrofit\RetrofitUtil.java,com.example.modernnewsblogapp.Retrofit.RetrofitUtil,getRetrofit/0,false,34,1,2,2,0,1,4,4,1,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,true
C:\Ravi\AndroidProject\ModernNewsBlogApp\app\src\main\java\com\example\modernnewsblogapp\Retrofit\RetrofitUtil.java,com.example.modernnewsblogapp.Retrofit.RetrofitUtil,RetrofitUtil/0,true,15,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
